What year are you?	To which of the following do you have access to this Summer session?	Please select your availability for any office hours Monday (times you can technically make it to)	Please select your availability for any office hours Tuesday (times you can technically make it to)	Please select your availability for any office hours Wednesday (times you can technically make it to)	Please select your availability for any office hours Thursday (times you can technically make it to)	Please select your availability for any office hours Friday (times you can technically make it to)	Please select your availability for any office hours Saturday (times you can technically make it to)	Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)	What is your major?	Why are you taking this course?	Which of the following courses have you taken previously? Check all that apply.	Check all that apply: Before COGS 109, which of the following skills do you feel you possess?	In which of the following programming language(s) are you comfortable? Check all that apply.	Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.	How comfortable are you with statistics?	How comfortable are you with programming?	For how long have you been programming in years?	For how long have you been programming IN PYTHON in years?	Are you a computational person - i.e. is computation part of what you want to do?
4th	Reliable Internet, A functioning laptop or tablet, Access to YouTube	10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	Data Science, Cognitive Science	Major requirement	COGS 9 w/ Prof Voytek, COGS 18 w/ Dr. Bardolph, Other programming	Go from raw data in potentially unusable form to a fully verified model you have selected and developed from scratch or model set (not just using a built-in command necessarily that does it for you) along with associated complete sets of descriptive statistics tailored to the system, Communicate results concisely and effectively in reports and presentations, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Perform data manipulation and processing from raw datasets, Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python	Python	unsupervised learning and associated mathematics, toolsets, seaborn, Python, regression, p-value, sklearn, matplotlib, numpy, machine learning, Jupyter Notebooks	6	9	2	2	5 - Yes, computational coding is very much part of what I do
4th	Reliable Internet, A functioning laptop or tablet, Access to YouTube	1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	COG SCI ML	Major requirement	None of these, Other programming	Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Perform data manipulation and processing from raw datasets, Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python	Python, Java, MATLAB, R	modeling (computational), seaborn, pandas (the package, not the animal), GitHub, matplotlib, numpy, Jupyter Notebooks, Python, data analysis, regression	1	7	3	1	5 - Yes, computational coding is very much part of what I do
3rd	Reliable Internet, A functioning laptop or tablet, Access to YouTube	2-3pm, 4-5pm	2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	2-3pm, 4-5pm	2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	Data Science & Computing Art	Elective	COGS 9 w/ Prof Voytek, Other programming	Go from raw data in potentially unusable form to a fully verified model you have selected and developed from scratch or model set (not just using a built-in command necessarily that does it for you) along with associated complete sets of descriptive statistics tailored to the system, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Communicate results concisely and effectively in reports and presentations, Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Perform data manipulation and processing from raw datasets	Python, Java, R	color space (HSV, CMY, RGB, CIE Chromaticity), continuious vs. discrete, Principal components analysis, version control (i.e. git), seaborn, GitHub, tabular data, data analysis, pandas (the package, not the animal), regression, p-value, A|B testing, sklearn, confounding, gradient descent, matplotlib, Jupyter Notebooks, numpy, Python, scikit-learn	8	8	3	2	4 - Somewhat
3rd	Reliable Internet, A functioning laptop or tablet, Access to YouTube	3-4pm	3-4pm, 4-5pm, 5-6pm	3-4pm, 4-5pm	3-4pm, 4-5pm, 5-6pm	3-4pm, 4-5pm, 5-6pm	3-4pm, 4-5pm, 5-6pm	-7	CogSci Machine Learning	Elective	Other programming	Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed	Python, Java, MATLAB, C, C++	data analysis, sentiment analysis, sklearn, matplotlib, scikit-learn, pandas (the package, not the animal), numpy, GitHub, seaborn, Python, Jupyter Notebooks	7	9	2	2	2- Not much but I do it when I have to
2nd	Reliable Internet, A functioning laptop or tablet, Access to YouTube	5-6pm, 6-7pm, 7-8pm	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	5-6pm, 6-7pm, 7-8pm	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	5-6pm, 6-7pm, 7-8pm	8-9am, 9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	Cognitive Science with a Specialization in Machine Learning + Neural Computation	Elective	Other programming	Communicate results concisely and effectively in reports and presentations	Python, Java	data analysis, pandas (the package, not the animal), p-value, machine learning, numpy, binary vs. ASCII files, GitHub, Python	4	6	2	2	5 - Yes, computational coding is very much part of what I do
1st	Reliable Internet, A functioning laptop or tablet, Access to YouTube	3-4pm	3-4pm	3-4pm	3-4pm	3-4pm	3-4pm	-7	ECE	Interest	Other programming	Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Go from raw data in potentially unusable form to a fully verified model you have selected and developed from scratch or model set (not just using a built-in command necessarily that does it for you) along with associated complete sets of descriptive statistics tailored to the system, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Perform data manipulation and processing from raw datasets, Communicate results concisely and effectively in reports and presentations	Python, R, C++	data analysis, fourier analysis, scikit-learn, matplotlib, natural language processing and associated toolkits, geospatial analysis, regression, Principal components analysis, GitHub, numpy, pseudoinverse, Python, A|B testing, matrix transpose, modeling (computational), analog vs. digital, supervised learning and associated mathematics, toolsets, version control (i.e. git), seaborn	7	7	4	3	5 - Yes, computational coding is very much part of what I do
4th	Reliable Internet, A functioning laptop or tablet, Access to YouTube	8-9am, 6-7pm, 7-8pm	8-9am, 6-7pm, 7-8pm	8-9am, 6-7pm, 7-8pm	8-9am, 6-7pm, 7-8pm	8-9am, 6-7pm, 7-8pm	8-9am, 6-7pm, 7-8pm	+8	Math/applied science	Interest	Other programming	Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Communicate results concisely and effectively in reports and presentations, Perform data manipulation and processing from raw datasets	Python, Java, C, C++	continuious vs. discrete, machine learning, p-value, GitHub, data analysis, regression, confounding	8	9	2	1	4 - Somewhat
4th	Reliable Internet, A functioning laptop or tablet, Access to YouTube	2-3pm	2-3pm	2-3pm, 3-4pm	2-3pm, 3-4pm	2-3pm, 3-4pm	2-3pm, 3-4pm	-7	Cogs Sci machine learning 	Major requirement	Other programming	Communicate results concisely and effectively in reports and presentations, Go from raw data in potentially unusable form to a fully verified model you have selected and developed from scratch or model set (not just using a built-in command necessarily that does it for you) along with associated complete sets of descriptive statistics tailored to the system, Perform data manipulation and processing from raw datasets, Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed	Python, Java, MATLAB, R, C, C++	analog vs. digital, matrix transpose, interpolation vs. extrapolation, GitHub, modeling (computational), color space (HSV, CMY, RGB, CIE Chromaticity)	7	7	4	3	3- Neutral
3rd	Reliable Internet, A functioning laptop or tablet, Access to YouTube	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	Cognitive Science - ML	Elective	COGS 9 w/ Prof Ellis, Other programming	Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed, Perform data manipulation and processing from raw datasets	Python, Java	Python, descriptive statistics, binary vs. ASCII files, version control (i.e. git), p-value, gradient descent, continuious vs. discrete	4	5	5	2	4 - Somewhat
3rd	Reliable Internet, A functioning laptop or tablet	4-5pm, 5-6pm, 6-7pm, 7-8pm	9-10am, 10-11am	4-5pm, 5-6pm, 6-7pm, 7-8pm	9-10am, 10-11am	4-5pm, 5-6pm, 6-7pm, 7-8pm	9-10am, 10-11am, 11-12pm, 12-1pm, 1-2pm, 2-3pm, 3-4pm, 4-5pm, 5-6pm, 6-7pm, 7-8pm	-7	data science	Elective	COGS 9 w/ Prof Fleischer, Other programming	Perform data manipulation and processing from raw datasets, Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Data visualization in 2d and 3d that may involve plots, charts, volume visualization, contour plots, image analysis or other scientific visualization as needed	Python, Java, R	matrix inverse, sklearn, numpy, gradient descent, confounding, matrix transpose, p-value, regression, Jupyter Notebooks, data analysis, Python, pandas (the package, not the animal), scikit-learn, Principal components analysis, machine learning	5	5	2	2	3- Neutral
